{'Input Sentence': 'put it back', 'Target Sentence': 'regresalo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'will you go ?', 'Target Sentence': 'va a ir ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she drew out the money from the bank', 'Target Sentence': 'saco el dinero del banco', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i know you re in love with me', 'Target Sentence': 'se que estais enamorados de mi', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the french revolution began in', 'Target Sentence': 'la revolucion francesa empezo en', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t like eating fish', 'Target Sentence': 'a tom no le gusta comer pescado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he pressured me', 'Target Sentence': 'el me presiono', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'guess who i saw today', 'Target Sentence': 'adivina a quien vi hoy', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'though it was very late he went on working', 'Target Sentence': 'aunque era muy tarde el siguio trabajando', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i guessed right', 'Target Sentence': 'acerte', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you can t win all the time', 'Target Sentence': 'no puedes triunfar siempre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'some of the students were absent with colds', 'Target Sentence': 'algunos de los estudiantes se ausentaron por estar resfriados', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he broke his arm and they had to put splints on it', 'Target Sentence': 'se rompio un brazo y tuvieron que entablillarselo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my briefcase is full of papers', 'Target Sentence': 'mi maletin esta lleno de papeles', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that is his car', 'Target Sentence': 'ese es su coche', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom likes fish', 'Target Sentence': 'a tom le gusta el pescado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we should have been more careful', 'Target Sentence': 'deberiamos haber tenido mas cuidado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they were all friends as children', 'Target Sentence': 'todas eran amigas cuando pequenas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i hear that she s a famous actress', 'Target Sentence': 'oi que ella es una actriz famosa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom and mary met at a new year s party', 'Target Sentence': 'tom y maria se conocieron en una fiesta de ano nuevo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t know if i could stand being away from you', 'Target Sentence': 'no se si soportaria estar lejos de ti', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the footnotes are at the bottom of the page', 'Target Sentence': 'las anotaciones estan al pie de la pagina', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'beauty isn t important', 'Target Sentence': 'la belleza no es importante', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have much snow in your country ?', 'Target Sentence': 'nieva mucho en tu pais ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tell her that i am repairing the refrigerator', 'Target Sentence': 'dile que estoy arreglando el frigorifico', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t believe he is a lawyer', 'Target Sentence': 'creo que no es abogado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this watch needs to be fixed', 'Target Sentence': 'hay que arreglar este reloj', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have any pictures of boston ?', 'Target Sentence': 'tiene usted fotos de boston ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that scenario is unlikely', 'Target Sentence': 'ese escenario es poco probable', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there is a big hole in your stocking', 'Target Sentence': 'tu calceta tiene un agujero grande', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'please adopt this cat', 'Target Sentence': 'por favor adopte este gato', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has to leave in a few minutes', 'Target Sentence': 'tom tiene que irse en unos minutos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i refuse to do it', 'Target Sentence': 'rechazo hacerlo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'let s wash our hands', 'Target Sentence': 'lavemonos las manos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'silence is a very powerful weapon', 'Target Sentence': 'el silencio es un arma muy poderosa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i feel alone without tom', 'Target Sentence': 'me siento a solas sin tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she gave her oath that she would not drink', 'Target Sentence': 'ella dio su palabra de que no beberia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you and i are going together', 'Target Sentence': 'tu y yo vamos juntos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'no matter how much i eat i never get fat', 'Target Sentence': 'por mas que coma yo nunca engordo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wish i could have gone with her', 'Target Sentence': 'ojala yo hubiera podido ir con ella', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t help tom with that', 'Target Sentence': 'no puedo ayudar a tom con eso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you keep a dog don t you ?', 'Target Sentence': 'tienes perro no ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i drink milk almost every day', 'Target Sentence': 'bebo leche casi todos los dias', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'start singing', 'Target Sentence': 'empezad a cantar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the poor old woman had her bag stolen again', 'Target Sentence': 'a la pobre anciana le han vuelto a robar la bolsa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who gave you that ?', 'Target Sentence': 'quien te ha dado eso ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i haven t eaten anything since yesterday', 'Target Sentence': 'yo desde ayer no comia nada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she s sitting in the kitchen and drinking tea', 'Target Sentence': 'ella esta sentada en la cocina tomando te', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i always tell the truth', 'Target Sentence': 'siempre digo la verdad', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you ve got a fever', 'Target Sentence': 'tienes fiebre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i just wanted to help the team', 'Target Sentence': 'solo queria ayudar al equipo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that is exactly what i wanted to buy', 'Target Sentence': 'eso es exactamente lo que queria comprar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom might have cancer', 'Target Sentence': 'tom posiblemente tenga cancer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'beat it', 'Target Sentence': 'pirate', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'to my surprise he won the prize', 'Target Sentence': 'para mi sorpresa el se gano el premio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m not sure i want to see this', 'Target Sentence': 'no estoy seguro de querer ver esto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you d better not go today', 'Target Sentence': 'mejor no vayas hoy', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m trapped in here', 'Target Sentence': 'estoy atrapado aqui dentro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom and mary are both exhausted', 'Target Sentence': 'tanto tom como mary estan exhaustos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom hurt his elbow when he fell', 'Target Sentence': 'tom se dano el codo al caer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where are my cigarettes ?', 'Target Sentence': 'donde estan mis cigarrillos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what are you two doing ?', 'Target Sentence': 'que estais haciendo vosotras dos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where shall we meet ?', 'Target Sentence': 'donde nos encontraremos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'our team is still undefeated', 'Target Sentence': 'nuestro equipo todavia esta invicto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where can i throw this eggshell ?', 'Target Sentence': 'donde puedo tirar esta cascara de huevo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you must think this is funny', 'Target Sentence': 'deben pensar que esto es comico', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i shouldn t have to do all this work by myself', 'Target Sentence': 'no deberia tener que hacer todo este trabajo yo solo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'bottoms up !', 'Target Sentence': 'hasta el fondo !', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom played guitar for nearly an hour', 'Target Sentence': 'tom toco guitarra por mas o menos una hora', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'many a mother spoils her sons by not being strict enough', 'Target Sentence': 'muchas madres malcrian a sus hijos por no ser lo suficientemente estrictas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'did you like the movie ?', 'Target Sentence': 'te gusto la pelicula ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'small fish swim just as well as big ones', 'Target Sentence': 'los peces pequenos nadan igual de bien que los grandes', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he does not speak unless he is asked to', 'Target Sentence': 'el no habla a menos que se lo pidan', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i got married', 'Target Sentence': 'me case', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you should ask your parents for permission', 'Target Sentence': 'deberiais pedirles permiso a vuestros padres', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that island has a tropical climate', 'Target Sentence': 'esa isla tiene un clima tropical', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i d like to know why you did it', 'Target Sentence': 'quisiera saber por que lo hiciste', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this knife is not sharp enough', 'Target Sentence': 'este cuchillo no esta lo suficientemente afilado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom told mary everything', 'Target Sentence': 'tom se lo conto todo a mary', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'put your socks on', 'Target Sentence': 'ponte los calcetines', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t come now', 'Target Sentence': 'ahora no puedo ir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this compass will be useful on your trip', 'Target Sentence': 'esta brujula les sera util en el viaje', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'have you ever seen one ?', 'Target Sentence': 'alguna vez has visto uno ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'sorry i ve got to go', 'Target Sentence': 'lo siento pero me tengo que ir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'why are you protesting against the government ?', 'Target Sentence': 'por que os estais manifestando contra el gobierno ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my skirt is too long', 'Target Sentence': 'mi falda es demasiado larga', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i asked him about the accident', 'Target Sentence': 'le pregunte sobre el accidente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom thanked mary for helping him', 'Target Sentence': 'tom le agradecio a mary por ayudarlo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she is busy learning english', 'Target Sentence': 'ella esta ocupada aprendiendo ingles', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom couldn t get the book he wanted', 'Target Sentence': 'tom no pudo conseguir el libro que queria', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'why is no one eating ?', 'Target Sentence': 'por que nadie esta comiendo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i want to talk with my lawyer', 'Target Sentence': 'quiero hablar con mi abogado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this is very good', 'Target Sentence': 'esto esta muy bueno', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i like to make people happy', 'Target Sentence': 'me gusta hacer feliz a la gente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the stripes were horizontal', 'Target Sentence': 'las bandas eran horizontales', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i fixed the car yesterday', 'Target Sentence': 'ayer repare el coche', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she waved goodbye to him', 'Target Sentence': 'le dijo adios con la mano', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i saw him crossing the street', 'Target Sentence': 'lo vi cruzando la calle', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i study psychology', 'Target Sentence': 'estudio psicologia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t really want your advice', 'Target Sentence': 'tom en realidad no quiere tus consejos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom handed mary a cup of hot coffee', 'Target Sentence': 'tom le paso a mary una taza de cafe caliente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i didn t donate blood', 'Target Sentence': 'no done sangre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he asked her advice about the problem', 'Target Sentence': 'el le pidio a ella su consejo acerca del problema', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t have cancer', 'Target Sentence': 'no tengo cancer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i say what i think', 'Target Sentence': 'yo digo lo que pienso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we are comfortable in our new house', 'Target Sentence': 'estamos comodos en nuestra nueva casa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you want your ears to show ?', 'Target Sentence': 'te gustaria mostrar tus orejas ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'sometimes we lie so that we don t hurt the feelings of others', 'Target Sentence': 'a veces mentimos para no herir los sentimientos de otro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'can you teach me how to fly ?', 'Target Sentence': 'puedes ensenarme a volar ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have your passport ?', 'Target Sentence': 'tienes tu pasaporte ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom is shy', 'Target Sentence': 'tom es timido', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you want me to explain it again ?', 'Target Sentence': 'quiere que se lo explique de nuevo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom suffocated mary with a feather pillow', 'Target Sentence': 'tom sofoco a mary con una almohada de plumas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i ll take him', 'Target Sentence': 'me encargare de el', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we often play chess after school', 'Target Sentence': 'a menudo jugamos ajedrez despues de clases', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what do you think of those japanese writers ?', 'Target Sentence': 'que opinas de esos escritores japoneses ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i love being a teacher', 'Target Sentence': 'me encanta ser profesor', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom gave mary some money so she could buy herself some candy', 'Target Sentence': 'tom le dio dinero a mary para que pudiera comprarse unos dulces', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this book is very new', 'Target Sentence': 'este libro es muy nuevo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how much fire insurance do you have ?', 'Target Sentence': 'de cuanto es el seguro contra incendios que tiene usted ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this isn t my money', 'Target Sentence': 'este no es mi dinero', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she asked me if i would be free next sunday', 'Target Sentence': 'me pregunto si estaria libre el domingo que viene', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she had her handbag stolen', 'Target Sentence': 'a ella le robaron el bolso', 'Predicted Sentence': '', 'Bleu Score': 0}
