/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 2-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 3-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 4-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
{'Input Sentence': 'put it back', 'Target Sentence': 'regresalo', 'Predicted Sentence': 'colecciona proyectos invitar', 'Bleu Score': 0}
{'Input Sentence': 'they loved tom', 'Target Sentence': 'ellos amaban a tom', 'Predicted Sentence': 'colecciona sonrio llores camine fantasmas ordenes', 'Bleu Score': 0}
{'Input Sentence': 'how s tom s neck ?', 'Target Sentence': 'como esta el cuello de tom ?', 'Predicted Sentence': 'colecciona pasea podre reflexion llores anoro andare compramos invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'he took off his glasses', 'Target Sentence': 'el se quito las gafas', 'Predicted Sentence': 'colecciona reflexion quieren decente decente decente invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'tom was married but he didn t wear a ring', 'Target Sentence': 'tom era casado pero no usaba anillo', 'Predicted Sentence': 'colecciona helicoptero fantasmas pedi ramita evitan instinto quitarse invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'don t eat my french fries', 'Target Sentence': 'no te comas mis patatas fritas', 'Predicted Sentence': 'colecciona chapuza arriesgare arriesgare eternidad descarga ensenarme invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'who is playing the piano ?', 'Target Sentence': 'quien esta tocando el piano ?', 'Predicted Sentence': 'colecciona helicoptero ocupadas persiguiendo sufre inmaduro intentes invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'what forms do we need to file ?', 'Target Sentence': 'que documentos necesitamos nosotros archivar ?', 'Predicted Sentence': 'colecciona chapuza llores callada requiere llores espinacas invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i d like to talk to you about your grades in school', 'Target Sentence': 'me gustaria hablar contigo sobre tus notas en la escuela', 'Predicted Sentence': 'colecciona sandwiches cuidate comprendo discutieron conoceis cesta festejamos exploto cargada permitirse daras armazon colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom blushed', 'Target Sentence': 'tom se sonrojo', 'Predicted Sentence': 'colecciona helicoptero todos arriesgare invitar', 'Bleu Score': 0}
{'Input Sentence': 'his speech impressed us very much', 'Target Sentence': 'su discurso nos impresiono mucho', 'Predicted Sentence': 'colecciona ciudadanos cuidate ayudame dactilares descarrilo invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'can you tell us why tom is doing that ?', 'Target Sentence': 'puedes decirnos por que tom esta haciendo esto ?', 'Predicted Sentence': 'colecciona hambriento derrotar golpea absuelto camisetas galaxias podre dieran concierto invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'you must ve made a lot of money', 'Target Sentence': 'usted debe haber hecho mucho dinero', 'Predicted Sentence': 'colecciona venir cancion almorzando tiburon tiburon descarrilo invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i heard a shout and then a crash', 'Target Sentence': 'oi un grito y luego un choque', 'Predicted Sentence': 'colecciona en lecciones folcloricos persiguiendo camine rehusaba sobreviviras invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'they are my old friends', 'Target Sentence': 'ellos son mis viejos amigos', 'Predicted Sentence': 'colecciona sonrio cuantas rumbo exactas lastiman estupidez estupidez', 'Bleu Score': 0}
{'Input Sentence': 'the living room is at the end of the hall', 'Target Sentence': 'la sala de estar esta al final del pasillo', 'Predicted Sentence': 'colecciona cargada cayo harvard lesionado temblor abusaba sentidos rehusaba odias invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'he used to live here', 'Target Sentence': 'solia vivir aqui', 'Predicted Sentence': 'colecciona reconocida largo parecer invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom has a ticket', 'Target Sentence': 'tom tiene un boleto', 'Predicted Sentence': 'colecciona helicoptero cocinando lecciones derrotar invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'i just want to help tom', 'Target Sentence': 'solo quiero ayudar a tom', 'Predicted Sentence': 'colecciona television cuello pasada polucion fantasmas cerrar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'what kind of music do you want us to play ?', 'Target Sentence': 'que tipo de musica quereis que toquemos ?', 'Predicted Sentence': 'colecciona chapuza fastidiosos intervalos ta tumbado lineas halar castigados invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'a sponge absorbs water', 'Target Sentence': 'una esponja absorbe el agua', 'Predicted Sentence': 'colecciona pasea hablarais pasajeros sufre arriesgare invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'the cat ran after the rat', 'Target Sentence': 'el gato fue corriendo tras el raton', 'Predicted Sentence': 'colecciona sufre llores coge incluso murcielago sufre catorce invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'you must be more polite', 'Target Sentence': 'tienen que ser mas respetuosos', 'Predicted Sentence': 'colecciona subi afectada hablara coches arco cerrar', 'Bleu Score': 0}
{'Input Sentence': 'tom has been appointed chairman', 'Target Sentence': 'tom ha sido nombrado presidente', 'Predicted Sentence': 'colecciona helicoptero atrasa instinto instinto prestado informare colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i wish i d met her', 'Target Sentence': 'ojala la hubiera conocido', 'Predicted Sentence': 'colecciona conviven cuidate sabor malas invitar', 'Bleu Score': 0}
{'Input Sentence': 'everybody knows that tom did it', 'Target Sentence': 'todos saben que tom lo hizo', 'Predicted Sentence': 'colecciona distintas librarse barrer andare considera matado cercanamente colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'the ground floor was flooded', 'Target Sentence': 'la planta baja estaba inundada', 'Predicted Sentence': 'colecciona cancion silla analisis no fisica ordenes', 'Bleu Score': 0}
{'Input Sentence': 'you understand me', 'Target Sentence': 'usted me entiende', 'Predicted Sentence': 'colecciona venir distintas compremosle invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'don t ask such hard questions', 'Target Sentence': 'no hagas preguntas tan dificiles', 'Predicted Sentence': 'colecciona chapuza vivo desconocido comprendo bombardearon invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i realized i wasn t ready', 'Target Sentence': 'me di cuenta de que no estaba listo', 'Predicted Sentence': 'colecciona distintas preguntaran ofendio planchar afortunadamente hagalo saludo seguras lavarropas colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'the news caused him to explode with anger', 'Target Sentence': 'las noticias lo hicieron explotar de rabia', 'Predicted Sentence': 'colecciona hace bebidas adoran siguio unirse concluyo expresan invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'you re very boring', 'Target Sentence': 'eres aburridisimo', 'Predicted Sentence': 'colecciona olviden parecer invitar', 'Bleu Score': 0}
{'Input Sentence': 'a rose smells sweet', 'Target Sentence': 'una rosa huele bien', 'Predicted Sentence': 'colecciona pasea cirugia orejas armazon invitar', 'Bleu Score': 0}
{'Input Sentence': 'your problems are similar to mine', 'Target Sentence': 'tus problemas se parecen a los mios', 'Predicted Sentence': 'colecciona armazon contradecirme contradecirme contradecirme decente aseguro halar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'this is top secret', 'Target Sentence': 'esto es ultra secreto', 'Predicted Sentence': 'colecciona television television tolerantes ciudadanos muestrame', 'Bleu Score': 0}
{'Input Sentence': 'i explained the process to him', 'Target Sentence': 'le explique el procedimiento', 'Predicted Sentence': 'colecciona colecciona colegio sufre tirara coronel colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'you must trust me on this', 'Target Sentence': 'tienes que confiar en mi al respecto', 'Predicted Sentence': 'colecciona colecciona absuelto primer sauce crecer abusaba gestacion invitar', 'Bleu Score': 0}
{'Input Sentence': 'i don t want to eat', 'Target Sentence': 'no quiero comer', 'Predicted Sentence': 'colecciona chapuza pasada moda invitar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'you ought not to have said a thing like that to him', 'Target Sentence': 'no deberias haberle dicho algo asi', 'Predicted Sentence': 'colecciona chapuza arriesgare disgustada callada conocen caramelo invitar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i hope i m wrong', 'Target Sentence': 'espero estar equivocada', 'Predicted Sentence': 'colecciona tirara adoran habermelo invitar estupidez', 'Bleu Score': 0}
{'Input Sentence': 'do that at your own risk', 'Target Sentence': 'haz eso bajo tu propia responsabilidad', 'Predicted Sentence': 'colecciona chupado ramita dieran abandonados acostumbrarse algun choque colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'do you want to go out with me tonight ?', 'Target Sentence': 'queres salir conmigo esta noche ?', 'Predicted Sentence': 'colecciona lee comprendo enganar abusaba mire concierto invitar descosido colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'everything is extremely simple', 'Target Sentence': 'todo es muy simple', 'Predicted Sentence': 'colecciona colecciona ciudadanos falto informare invitar', 'Bleu Score': 0}
{'Input Sentence': 'things usually take longer than you expect', 'Target Sentence': 'las cosas usualmente toman mas tiempo de lo que esperas', 'Predicted Sentence': 'colecciona hace golf descarrilo descarrilo descarrilo cabezota intervalos posibilidades muchisimas castigados invitar armazon colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom s hungry', 'Target Sentence': 'tom tiene hambre', 'Predicted Sentence': 'colecciona helicoptero cocinando llamaran invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'what do you feel most proud of ?', 'Target Sentence': 'de que te sientes mas orgulloso ?', 'Predicted Sentence': 'colecciona planchar derrotar arriesgare arriesgare pruebas escucharlo concierto invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'judging from his expression he s in a bad mood', 'Target Sentence': 'a juzgar por su expresion el esta de mal humor', 'Predicted Sentence': 'colecciona polucion camine golpea resfriaba lesionado sufre medicacion pantalones quitarme usual invitar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'please get a chair for tom to sit on', 'Target Sentence': 'por favor coge una silla para que tom se siente', 'Predicted Sentence': 'colecciona renove contaste complexion pasea esconderemos falsa barrer camisetas todos texto invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom didn t do his homework', 'Target Sentence': 'tom no hizo su tarea', 'Predicted Sentence': 'colecciona helicoptero hagalo escogi matado firme invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'the man and his wife helped each other', 'Target Sentence': 'el hombre y su esposa se ayudaron el uno al otro', 'Predicted Sentence': 'colecciona reflexion vecindario persiguiendo persiguiendo calceta frias yogur quieren destinada vecindario pijama invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
