{'Input Sentence': 'the engine is overheating', 'Target Sentence': 'el motor esta sobrecalentado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what other explanation can there be ?', 'Target Sentence': 'que otra explicacion puede haber ?', 'Predicted Sentence': 'operaban', 'Bleu Score': 0}
{'Input Sentence': 'i don t think that i deserved the punishment i got', 'Target Sentence': 'yo creo que no merecia el castigo que obtuve', 'Predicted Sentence': 'aplaudimos arqueologa profesor', 'Bleu Score': 0}
{'Input Sentence': 'i spent the whole afternoon chatting with friends', 'Target Sentence': 'pase toda la tarde charlando con mis amigos', 'Predicted Sentence': 'alli pedira', 'Bleu Score': 0}
{'Input Sentence': 'he doesn t know what to do with his money', 'Target Sentence': 'el no sabe que hacer con su dinero', 'Predicted Sentence': 'defensas', 'Bleu Score': 0}
{'Input Sentence': 'the truth finally came out at his trial', 'Target Sentence': 'la verdad finalmente salio a la luz durante su juicio', 'Predicted Sentence': 'viceversa', 'Bleu Score': 0}
{'Input Sentence': 'if you want you can go', 'Target Sentence': 'si quieres puedes ir', 'Predicted Sentence': 'asediaron consigues', 'Bleu Score': 0}
{'Input Sentence': 'i just wanted to be with tom', 'Target Sentence': 'solo queria estar con tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i thought it d be more comfortable if we sat here', 'Target Sentence': 'pense que seria mas comodo si nos sentaramos aqui', 'Predicted Sentence': 'revele pensaba olvidare best accesorios alli', 'Bleu Score': 0}
{'Input Sentence': 'tom speaks with mary every day', 'Target Sentence': 'tomas habla todos los dias con maria', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i am very tired', 'Target Sentence': 'estoy muy cansado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'stop avoiding me', 'Target Sentence': 'deja de evitarme', 'Predicted Sentence': 'busca', 'Bleu Score': 0}
{'Input Sentence': 'i know of her but i have never met her', 'Target Sentence': 'se de ella pero no la conozco personalmente', 'Predicted Sentence': 'imitar celosa', 'Bleu Score': 0}
{'Input Sentence': 'she bought two dozen eggs', 'Target Sentence': 'ella compro dos docenas de huevos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'many thanks', 'Target Sentence': 'muchas gracias', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what happened to the rest of the food ?', 'Target Sentence': 'que paso con el resto de la comida ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wasn t interested in it', 'Target Sentence': 'no me interesaba', 'Predicted Sentence': 'casco', 'Bleu Score': 0}
{'Input Sentence': 'how far is it from here to your house ?', 'Target Sentence': 'a que distancia esta tu casa ?', 'Predicted Sentence': 'comeriamos conviviendo exterminador enfadados pedira', 'Bleu Score': 0}
{'Input Sentence': 'tom had his chauffeur drive mary to the airport', 'Target Sentence': 'tom hizo que su chofer llevara a mary en coche al aeropuerto', 'Predicted Sentence': 'presidencial presidencial extranjeros ventilador organizando silabas', 'Bleu Score': 0}
{'Input Sentence': 'my grandfather died when i was a boy', 'Target Sentence': 'mi abuelo murio cuando yo era un nino', 'Predicted Sentence': 'alli aquiles ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'tom wasn t terrified but mary was', 'Target Sentence': 'tom no estaba aterrorizado pero mary si', 'Predicted Sentence': 'defensas empezar revele castillo aprenden', 'Bleu Score': 0}
{'Input Sentence': 'let me think', 'Target Sentence': 'dejame pensar !', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they demoted you', 'Target Sentence': 'te descendieron', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t remember where he put his key', 'Target Sentence': 'tom no se acuerda de donde dejo sus llaves', 'Predicted Sentence': 'imitar navegamos', 'Bleu Score': 0}
{'Input Sentence': 'i often refer to the dictionary', 'Target Sentence': 'me suelo remitir al diccionario', 'Predicted Sentence': 'organizando', 'Bleu Score': 0}
{'Input Sentence': 'it kept raining for a week', 'Target Sentence': 'siguio lloviendo por una semana', 'Predicted Sentence': 'aplaudimos accesorios', 'Bleu Score': 0}
{'Input Sentence': 'we have food', 'Target Sentence': 'tenemos comida', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he is likely to win this game', 'Target Sentence': 'es posible que el gane este juego', 'Predicted Sentence': 'operaban', 'Bleu Score': 0}
{'Input Sentence': 'he was completely worn out', 'Target Sentence': 'estaba agotadisimo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom stayed in boston for three weeks', 'Target Sentence': 'tom se quedo en boston durante tres semanas', 'Predicted Sentence': 'extranjeros olvidar', 'Bleu Score': 0}
{'Input Sentence': 'i feel your loss', 'Target Sentence': 'siento vuestra perdida', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we waited a long time but tom didn t show up', 'Target Sentence': 'esperamos mucho pero tom no aparecio', 'Predicted Sentence': 'preguntaron revele amadas celosa representados', 'Bleu Score': 0}
{'Input Sentence': 'lincoln was opposed to slavery', 'Target Sentence': 'lincoln estaba en contra de la esclavitud', 'Predicted Sentence': 'extranjeros pedira', 'Bleu Score': 0}
{'Input Sentence': 'let s eat here', 'Target Sentence': 'comamos aqui', 'Predicted Sentence': 'parase echarle', 'Bleu Score': 0}
{'Input Sentence': 'i can t figure out how to transfer mp files to my ipod', 'Target Sentence': 'no puedo averiguar como transferir archivos mp a mi ipod', 'Predicted Sentence': 'hormigas ayudaran monumental', 'Bleu Score': 0}
{'Input Sentence': 'i think we should ask tom why he left his last job', 'Target Sentence': 'segun yo deberiamos preguntarle a tom por que el dejo su ultimo trabajo', 'Predicted Sentence': 'cortando aplaudimos hamster ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i stayed at home all day instead of going to work', 'Target Sentence': 'me quede en casa todo el dia en lugar de ir a trabajar', 'Predicted Sentence': 'confisque extranjeros podemos reparo compondre extranjeros extranjeros quinientos asediaron agredido chanza perra', 'Bleu Score': 0}
{'Input Sentence': 'it seems that everybody likes golf', 'Target Sentence': 'parece que a todo el mundo le gusta el golf', 'Predicted Sentence': 'burros profesor', 'Bleu Score': 0}
{'Input Sentence': 'who was it that forgot to lock the door of the warehouse ?', 'Target Sentence': 'quien ha sido que olvido cerrar con llave la puerta del almacen ?', 'Predicted Sentence': 'trabajes estacion enfadados arado', 'Bleu Score': 0}
{'Input Sentence': 'they were swimming', 'Target Sentence': 'ellos nadaban', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t doubt that she is married', 'Target Sentence': 'yo no dudo que ella este casada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i got the news from a reliable source', 'Target Sentence': 'obtuve la noticia de una fuente confiable', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how long does it take to get from here to your house on foot ?', 'Target Sentence': 'cuanto se tarda en ir desde aqui hasta tu casa andando ?', 'Predicted Sentence': 'prestarle extranjeros leer esforce accesorios gritos mueren coliflor viola cenara echarle', 'Bleu Score': 0}
{'Input Sentence': 'tom has three adult sons', 'Target Sentence': 'tomas tiene tres hijos grandes', 'Predicted Sentence': 'busca', 'Bleu Score': 0}
{'Input Sentence': 'he was a former university professor and researcher', 'Target Sentence': 'era un antiguo profesor universitario e investigador', 'Predicted Sentence': 'aquiles asearse accesorios', 'Bleu Score': 0}
{'Input Sentence': 'the relationships among those five people are complicated', 'Target Sentence': 'las relaciones entre esos cinco son enredadas', 'Predicted Sentence': 'enderezaran telefonista recogerte tazon pedira', 'Bleu Score': 0}
{'Input Sentence': 'this never happened', 'Target Sentence': 'esto no ha pasado nunca', 'Predicted Sentence': 'espiandome ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i don t have much belief in his abilities', 'Target Sentence': 'no le tengo mucha fe a sus capacidades', 'Predicted Sentence': 'coartadas espinacas', 'Bleu Score': 0}
{'Input Sentence': 'a truck got stuck on the railroad crossing', 'Target Sentence': 'un camion se atasco en el cruce ferroviario', 'Predicted Sentence': 'representados extranjeros aplaudimos pedira', 'Bleu Score': 0}
{'Input Sentence': 'the journalist was kidnapped by terrorists', 'Target Sentence': 'el periodista fue secuestrado por terroristas', 'Predicted Sentence': 'labor mantengo operaban', 'Bleu Score': 0}
{'Input Sentence': 'she has good handwriting', 'Target Sentence': 'ella tiene buena letra', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it was after midnight when we arrived', 'Target Sentence': 'fue pasada la medianoche cuando llegamos', 'Predicted Sentence': 'fabricas alli consigues', 'Bleu Score': 0}
{'Input Sentence': 'i got thirsty', 'Target Sentence': 'yo me puse sediento', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i leave in an hour', 'Target Sentence': 'me voy en una hora', 'Predicted Sentence': 'extranjeros', 'Bleu Score': 0}
{'Input Sentence': 'the situation worries me very much', 'Target Sentence': 'la situacion me preocupa mucho', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'get yourselves cleaned up', 'Target Sentence': 'id a lavaros', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tell us more', 'Target Sentence': 'digannos mas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this is not safe', 'Target Sentence': 'esto no es seguro', 'Predicted Sentence': 'pedira', 'Bleu Score': 0}
{'Input Sentence': 'this isn t a hospital', 'Target Sentence': 'esto no es un hospital', 'Predicted Sentence': 'busca', 'Bleu Score': 0}
{'Input Sentence': 'can you give me a lift to the station ?', 'Target Sentence': 'me puedes dar un aventon a la estacion ?', 'Predicted Sentence': 'usen espinacas', 'Bleu Score': 0}
{'Input Sentence': 'there s a grocery store on this street', 'Target Sentence': 'en esta calle hay una tienda de comestibles', 'Predicted Sentence': 'mira ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'it seems rather expensive to me', 'Target Sentence': 'me parece algo caro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what would you do if you were ten years younger ?', 'Target Sentence': 'que harias si tuvieras diez anos menos ?', 'Predicted Sentence': 'aprenden encargue petiso petiso', 'Bleu Score': 0}
{'Input Sentence': 'all of us will die sooner or later', 'Target Sentence': 'todos moriremos tarde o temprano', 'Predicted Sentence': 'persuadi cuan busca', 'Bleu Score': 0}
{'Input Sentence': 'come on out here', 'Target Sentence': 'sal aqui', 'Predicted Sentence': 'esconderse representados', 'Bleu Score': 0}
{'Input Sentence': 'you still seem to be upset', 'Target Sentence': 'aun pareces estar molesto', 'Predicted Sentence': 'celoso silabas', 'Bleu Score': 0}
{'Input Sentence': 'is that what you have in mind ?', 'Target Sentence': 'es eso lo que tienes en mente ?', 'Predicted Sentence': 'procurarse extranjeros encargarse operaban', 'Bleu Score': 0}
{'Input Sentence': 'tom didn t understand anything', 'Target Sentence': 'tomas no comprendio nada', 'Predicted Sentence': 'arriesgaron accesorios accesorios', 'Bleu Score': 0}
{'Input Sentence': 'time flies', 'Target Sentence': 'el tiempo vuela', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'five miles is a long distance to walk', 'Target Sentence': 'kilometros es mucho para caminarlo', 'Predicted Sentence': 'operaban', 'Bleu Score': 0}
{'Input Sentence': 'she greeted me with a big smile', 'Target Sentence': 'ella me recibio con una gran sonrisa', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'he has a monthly income of dollars', 'Target Sentence': 'el tiene unos ingresos mensuales de dolares', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t believe you ve never heard of us', 'Target Sentence': 'no me puedo creer que nunca hayas oido hablar de nosotros', 'Predicted Sentence': 'periodicos surfista ingles prepararte cocinamos', 'Bleu Score': 0}
{'Input Sentence': 'he never stopped writing', 'Target Sentence': 'el nunca dejo de escribir', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i ve never been in love', 'Target Sentence': 'nunca he estado enamorado', 'Predicted Sentence': 'profesor', 'Bleu Score': 0}
{'Input Sentence': 'i couldn t figure out how to open the door', 'Target Sentence': 'no se me ocurrio como abrir la puerta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have the latest version ?', 'Target Sentence': 'tienes la ultima version ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she bought it at the butcher s', 'Target Sentence': 'ella lo compro en la carniceria', 'Predicted Sentence': 'extranjeros', 'Bleu Score': 0}
{'Input Sentence': 'i have to write a letter', 'Target Sentence': 'tengo que escribir una carta', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'bad news travels quickly', 'Target Sentence': 'las malas noticias viajan veloz', 'Predicted Sentence': 'para', 'Bleu Score': 0}
{'Input Sentence': 'ask anything', 'Target Sentence': 'pregunten cualquier cosa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t help loving her', 'Target Sentence': 'no puedo evitar quererla', 'Predicted Sentence': 'pedira', 'Bleu Score': 0}
{'Input Sentence': 'how long are you going to keep whimpering about that ? you can t change the past', 'Target Sentence': 'por cuanto tiempo vas a continuar lamentandote acerca de eso ? no puedes cambiar el pasado', 'Predicted Sentence': 'aplaudimos aplaudimos habremos semaforos agredido academico email simultaneo libres convencida ingles entendido ausentes francamente afecto piensa amargas', 'Bleu Score': 0}
{'Input Sentence': 'in the beginning god created the heavens and the earth', 'Target Sentence': 'en el principio dios creo los cielos y la tierra', 'Predicted Sentence': 'derroto modere accesorios abundante imitar', 'Bleu Score': 0}
{'Input Sentence': 'what time is it ? it s', 'Target Sentence': 'que hora es ? son las tres y veinte', 'Predicted Sentence': 'traer aplaudimos defensas', 'Bleu Score': 0}
{'Input Sentence': 'use this one', 'Target Sentence': 'usad esta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i think i ll be able to stand that', 'Target Sentence': 'pienso que sere capaz de soportar eso', 'Predicted Sentence': 'representados convencida busca', 'Bleu Score': 0}
{'Input Sentence': 'tom is going bald', 'Target Sentence': 'tom se esta quedando calvo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'is tom babbling ?', 'Target Sentence': 'esta tom farfullando ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m very lazy', 'Target Sentence': 'soy muy vago', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how do you use this camera ?', 'Target Sentence': 'como se usa esta camara ?', 'Predicted Sentence': 'echarle', 'Bleu Score': 0}
{'Input Sentence': 'i want tom and mary to say that they were wrong', 'Target Sentence': 'quiero que tom y mary digan que estaban equivocados', 'Predicted Sentence': 'murcielagos cabello', 'Bleu Score': 0}
{'Input Sentence': 'when one has a wonderful dream one doesn t wish to come down to earth', 'Target Sentence': 'cuando uno tiene un sueno maravilloso no desea volver a la realidad', 'Predicted Sentence': 'estacionaste marinero armense amables distraigas desodorante tornado espinacas esperaba espinacas', 'Bleu Score': 0}
{'Input Sentence': 'i made that one', 'Target Sentence': 'yo hice aquel', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the patient s condition changes every day', 'Target Sentence': 'la situacion del paciente cambia a cada dia que pasa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the man was arrested as a spy', 'Target Sentence': 'el hombre fue arrestado como espia', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'give me half of it', 'Target Sentence': 'dame la mitad', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my nephew is allergic to eggs', 'Target Sentence': 'mi sobrino es alergico a los huevos', 'Predicted Sentence': 'hinojo aquiles ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'he has no eye for women', 'Target Sentence': 'el tiene mal gusto para mujeres', 'Predicted Sentence': 'espinacas', 'Bleu Score': 0}
{'Input Sentence': 'we spoke yesterday', 'Target Sentence': 'hablamos ayer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it isn t possible to do two things at once', 'Target Sentence': 'no es posible hacer dos cosas a la vez', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i ve got nothing to do', 'Target Sentence': 'no tengo nada que hacer', 'Predicted Sentence': 'accesorios', 'Bleu Score': 0}
{'Input Sentence': 'last year there was a bad harvest', 'Target Sentence': 'el ano pasado hubo una mala cosecha', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'how would you like your coffee ?', 'Target Sentence': 'como quiere su cafe ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'mary doesn t need makeup she s pretty just the way she is', 'Target Sentence': 'mary no necesita maquillaje es linda tal y como es', 'Predicted Sentence': 'colectivo representados despierte extendieron preste rodeados consigues', 'Bleu Score': 0}
{'Input Sentence': 'tom wants to get married', 'Target Sentence': 'tom quiere casarse', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he had to pay the damages', 'Target Sentence': 'tuvo que pagar los danos', 'Predicted Sentence': 'aplaudimos lograras ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i found it necessary to get up early every morning', 'Target Sentence': 'creo que es necesario levantarse temprano cada manana', 'Predicted Sentence': 'ayudaran profesor', 'Bleu Score': 0}
{'Input Sentence': 'are the windows open ?', 'Target Sentence': 'estan abiertas las ventanas ?', 'Predicted Sentence': 'confiabas desvalidos', 'Bleu Score': 0}
{'Input Sentence': 'tom speaks good french', 'Target Sentence': 'tom habla bien frances', 'Predicted Sentence': 'mapas', 'Bleu Score': 0}
{'Input Sentence': 'try something simpler', 'Target Sentence': 'mira mucho mas sencillo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we all have to be very careful', 'Target Sentence': 'todos tenemos que tener mucho cuidado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he looks kind of pale', 'Target Sentence': 'el esta un poco palido', 'Predicted Sentence': 'mira creerlo pedira', 'Bleu Score': 0}
{'Input Sentence': 'now it s serious', 'Target Sentence': 'ahora se puso serio', 'Predicted Sentence': 'reiras', 'Bleu Score': 0}
{'Input Sentence': 'i don t know what they re doing', 'Target Sentence': 'no se que hacen', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do we need to watch out for tigers around here ?', 'Target Sentence': 'debemos cuidarnos de los tigres por este alrededor ?', 'Predicted Sentence': 'representados aplaudimos creerlo operaban', 'Bleu Score': 0}
{'Input Sentence': 'we weren t hiding', 'Target Sentence': 'no nos estabamos ocultando', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i liked them all', 'Target Sentence': 'me gustaban todos', 'Predicted Sentence': 'pedira', 'Bleu Score': 0}
{'Input Sentence': 'tom forgot the rules', 'Target Sentence': 'tom olvido las normas', 'Predicted Sentence': 'confiabas', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t like me', 'Target Sentence': 'no le agrado a tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i might visit boston next october', 'Target Sentence': 'yo podria visitar boston el proximo octubre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'to be always honest is not easy', 'Target Sentence': 'ser siempre honesto no es facil', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom wished he had had the courage to jump into the river and save the baby that had fallen in', 'Target Sentence': 'tom desearia haber tenido el valor de saltar al rio y salvar al bebe que se habia caido', 'Predicted Sentence': 'hablarme defensas admiro admiro generacion imitar muestreme arroz hagamoslo imitar recordais organizando codificacion equilibrio sintiendome botella abriran molestaste', 'Bleu Score': 0}
{'Input Sentence': 'we re looking for my book', 'Target Sentence': 'estamos buscando mi libro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has a cousin who is a doctor', 'Target Sentence': 'tom tiene una prima que es doctora', 'Predicted Sentence': 'alli', 'Bleu Score': 0}
{'Input Sentence': 'try your best', 'Target Sentence': 'prueba a ver que tal te va', 'Predicted Sentence': 'pedira ventilador ovejas ausentarte', 'Bleu Score': 0}
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 2-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 3-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 4-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
{'Input Sentence': 'do you need the key ?', 'Target Sentence': 'necesita usted la llave ?', 'Predicted Sentence': 'esperes', 'Bleu Score': 0}
{'Input Sentence': 'you never told me anything about the accident', 'Target Sentence': 'nunca me contaste nada sobre el accidente', 'Predicted Sentence': 'procurarse', 'Bleu Score': 0}
{'Input Sentence': 'tom had an accident', 'Target Sentence': 'tom tuvo un accidente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the tumor was removed', 'Target Sentence': 'le sacaron el tumor', 'Predicted Sentence': 'casco perra', 'Bleu Score': 0}
{'Input Sentence': 'she knows many proverbs', 'Target Sentence': 'ella sabe muchos proverbios', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this book is tom s', 'Target Sentence': 'este es el libro de tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m not good at french', 'Target Sentence': 'no soy buena en frances', 'Predicted Sentence': 'extranjeros mapas pedira', 'Bleu Score': 0}
{'Input Sentence': 'can you use a computer ?', 'Target Sentence': 'puedes usar una computadora ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she came', 'Target Sentence': 'ella vino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'ubuntu is a popular linux distribution', 'Target Sentence': 'ubuntu es una distribucion de linux popular', 'Predicted Sentence': 'insiste', 'Bleu Score': 0}
{'Input Sentence': 'take your shoes off before going into a temple', 'Target Sentence': 'quitate los zapatos antes de entrar a un templo', 'Predicted Sentence': 'arriesgaron escuchenme busca', 'Bleu Score': 0}
{'Input Sentence': 'you live here alone don t you ?', 'Target Sentence': 'usted vive aqui solo verdad ?', 'Predicted Sentence': 'increiblemente tratad conteste enfadados espinacas', 'Bleu Score': 0}
{'Input Sentence': 'i thought tom would be grateful', 'Target Sentence': 'pense que tom estaria agradecido', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you need this', 'Target Sentence': 'necesitas esto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i drive a convertible', 'Target Sentence': 'yo conduzco un descapotable', 'Predicted Sentence': 'ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i had an interesting day today', 'Target Sentence': 'hoy he tenido un dia interesante', 'Predicted Sentence': 'repetirse enceguecedor ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'he did not see anyone else at the station', 'Target Sentence': 'el no vio nadie mas en la estacion', 'Predicted Sentence': 'dijiste identificaras finalizado pedira', 'Bleu Score': 0}
{'Input Sentence': 'you are not our friend', 'Target Sentence': 'no eres nuestro amigo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they heard a speech written especially for them', 'Target Sentence': 'ellos escucharon un discurso escrito especialmente para ellos', 'Predicted Sentence': 'chilleis', 'Bleu Score': 0}
{'Input Sentence': 'i ve already taken out the trash', 'Target Sentence': 'ya he sacado la basura', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'don t catch a cold', 'Target Sentence': 'no te resfries', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'his death was a great loss to our firm', 'Target Sentence': 'su muerte fue una gran perdida para nuestra compania', 'Predicted Sentence': 'tonalidad trabajes ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'tom looks pale is anything the matter with him ?', 'Target Sentence': 'tom se ve palido le pasa algo ?', 'Predicted Sentence': 'arado', 'Bleu Score': 0}
{'Input Sentence': 'i wasn t in your apartment', 'Target Sentence': 'no estaba en tu apartamento', 'Predicted Sentence': 'aplaudimos extranjeros conviviendo ausentarte ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i might be able to fit that in my schedule', 'Target Sentence': 'es posible que pueda encajar eso en mi calendario', 'Predicted Sentence': 'forzarte cava extranjeros ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'i m going to buy a few bottles of wine for dinner', 'Target Sentence': 'voy a comprar unas botellas de vino para la cena', 'Predicted Sentence': 'encienden imitacion cableado irrelevantes costumbres armense plomo busca', 'Bleu Score': 0}
{'Input Sentence': 'i m sure you d have fun doing that', 'Target Sentence': 'estoy seguro de que te divertirias haciendo eso', 'Predicted Sentence': 'acercases encuentro intereso busca', 'Bleu Score': 0}
